Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Monday, Apr 6",SEA,@,TEX,L,1.0,2.0,9.0,4-7,4.0,2.0,Beeks,Gilbert,Junis,2:27,N,23901.0,.79,-3.0,
"Tuesday, Apr 7",SEA,@,TEX,L,2.0,3.0,9.0,4-8,4.0,2.5,Eovaldi,Kirby,Junis,2:12,N,22411.0,1.08,-4.0,
"Wednesday, Apr 8",SEA,@,TEX,L,0.0,3.0,9.0,4-9,5.0,3.5,Gore,Woo,Winn,2:14,D,20997.0,.49,-5.0,
"Friday, Apr 10",SEA,Home,HOU,W,9.0,6.0,9.0,5-9,5.0,2.5,Hancock,Weiss,Muñoz,3:14,N,44468.0,1.13,1.0,
"Saturday, Apr 11",SEA,Home,HOU,W-wo,8.0,7.0,9.0,6-9,4.0,1.5,Muñoz,Abreu,None,3:12,N,43294.0,.83,2.0,
"Sunday, Apr 12",SEA,Home,HOU,W,6.0,1.0,9.0,7-9,4.0,1.5,Gilbert,Bolton,None,2:32,D,29071.0,.69,3.0,
"Monday, Apr 13",SEA,Home,HOU,W,6.0,2.0,9.0,8-9,3.0,1.5,Kirby,Burrows,None,2:11,D,18648.0,1.32,4.0,
"Tuesday, Apr 14",SEA,@,SDP,L,1.0,4.0,9.0,8-10,4.0,1.5,King,Woo,Miller,2:19,N,38152.0,.87,-1.0,
"Wednesday, Apr 15",SEA,@,SDP,L-wo,6.0,7.0,9.0,8-11,4.0,2.5,Jacob,Muñoz,None,3:03,N,46095.0,1.03,-2.0,
"Thursday, Apr 16",SEA,@,SDP,L,2.0,5.0,9.0,8-12,4.0,2.5,Buehler,Castillo,Miller,2:43,N,39008.0,1.00,-3.0,
"Friday, Apr 17",SEA,Home,TEX,L,0.0,5.0,9.0,8-13,4.0,3.5,Collyer,Gilbert,None,3:08,N,28253.0,.73,-4.0,
"Saturday, Apr 18",SEA,Home,TEX,W,7.0,3.0,9.0,9-13,4.0,2.5,Kirby,Eovaldi,Muñoz,3:13,D,45552.0,.79,1.0,
"Sunday, Apr 19",SEA,Home,TEX,W,5.0,2.0,9.0,10-13,4.0,1.5,Woo,Gore,Muñoz,2:29,D,35474.0,.99,2.0,
