Home Team,Home Abbreviation,Home ID,Home Score,Home Q1,Home Q2,Home Q3,Home Q4,Away Team,Away Abbreviation,Away ID,Away Score,Away Q1,Away Q2,Away Q3,Away Q4
Sacramento Kings,SAC,23,101.0,32.0,24.0,27.0,18.0,Oklahoma City Thunder,OKC,25,132.0,30.0,40.0,28.0,34.0
Washington Wizards,WSH,27,105.0,24.0,29.0,33.0,19.0,Dallas Mavericks,DAL,6,111.0,35.0,22.0,25.0,29.0
Philadelphia 76ers,PHI,20,130.0,33.0,35.0,33.0,29.0,Toronto Raptors,TOR,28,120.0,43.0,20.0,34.0,23.0
Atlanta Hawks,ATL,1,122.0,37.0,31.0,30.0,24.0,Los Angeles Lakers,LAL,13,102.0,29.0,25.0,18.0,30.0
Cleveland Cavaliers,CLE,5,128.0,32.0,24.0,40.0,32.0,Chicago Bulls,CHI,4,122.0,29.0,43.0,26.0,24.0
Miami Heat,MIA,14,136.0,27.0,45.0,28.0,36.0,Portland Trail Blazers,POR,22,131.0,30.0,35.0,32.0,34.0
San Antonio Spurs,SA,24,126.0,28.0,38.0,26.0,34.0,New Orleans Pelicans,NO,3,119.0,22.0,36.0,27.0,34.0
Denver Nuggets,DEN,7,117.0,31.0,25.0,39.0,22.0,Indiana Pacers,IND,11,100.0,18.0,29.0,35.0,18.0
LA Clippers,LAC,12,103.0,29.0,17.0,34.0,23.0,Phoenix Suns,PHX,21,114.0,35.0,25.0,25.0,29.0
Milwaukee Bucks,MIL,15,115.0,30.0,31.0,24.0,30.0,Houston Rockets,HOU,10,122.0,28.0,22.0,32.0,40.0
New York Knicks,NY,18,134.0,40.0,37.0,35.0,22.0,Brooklyn Nets,BKN,17,98.0,22.0,40.0,17.0,19.0
Orlando Magic,ORL,19,107.0,33.0,21.0,26.0,27.0,Boston Celtics,BOS,2,111.0,30.0,24.0,24.0,33.0
Memphis Grizzlies,MEM,29,100.0,33.0,29.0,18.0,20.0,Oklahoma City Thunder,OKC,25,114.0,25.0,26.0,34.0,29.0
Philadelphia 76ers,PHI,20,108.0,32.0,32.0,21.0,23.0,Detroit Pistons,DET,8,111.0,37.0,17.0,34.0,23.0
Golden State Warriors,GS,9,114.0,23.0,25.0,27.0,39.0,Indiana Pacers,IND,11,83.0,21.0,20.0,24.0,18.0
Sacramento Kings,SAC,23,117.0,25.0,29.0,30.0,33.0,Minnesota Timberwolves,MIN,16,144.0,31.0,40.0,40.0,33.0
Charlotte Hornets,CHA,30,111.0,40.0,23.0,15.0,33.0,Los Angeles Lakers,LAL,13,121.0,36.0,29.0,31.0,25.0
Detroit Pistons,DET,8,137.0,36.0,31.0,20.0,40.0,Washington Wizards,WSH,27,135.0,37.0,24.0,35.0,31.0
Orlando Magic,ORL,19,115.0,26.0,33.0,28.0,28.0,Portland Trail Blazers,POR,22,112.0,24.0,32.0,20.0,36.0
Miami Heat,MIA,14,140.0,25.0,37.0,39.0,27.0,Cleveland Cavaliers,CLE,5,138.0,30.0,23.0,39.0,36.0
Chicago Bulls,CHI,4,117.0,26.0,38.0,34.0,19.0,San Antonio Spurs,SA,24,121.0,34.0,29.0,26.0,32.0
Dallas Mavericks,DAL,6,114.0,31.0,26.0,31.0,26.0,Milwaukee Bucks,MIL,15,116.0,27.0,26.0,26.0,37.0
Phoenix Suns,PHX,21,121.0,29.0,35.0,32.0,25.0,New Orleans Pelicans,NO,3,98.0,22.0,19.0,31.0,26.0
Utah Jazz,UTAH,26,113.0,30.0,25.0,25.0,33.0,Minnesota Timberwolves,MIN,16,120.0,26.0,27.0,40.0,27.0
LA Clippers,LAC,12,102.0,29.0,23.0,24.0,26.0,Atlanta Hawks,ATL,1,105.0,19.0,33.0,27.0,26.0
Brooklyn Nets,BKN,17,109.0,30.0,22.0,29.0,28.0,Toronto Raptors,TOR,28,119.0,28.0,32.0,29.0,30.0
New York Knicks,NY,18,133.0,42.0,35.0,37.0,19.0,Memphis Grizzlies,MEM,29,120.0,30.0,24.0,39.0,27.0
Philadelphia 76ers,PHI,20,102.0,23.0,28.0,20.0,31.0,Boston Celtics,BOS,2,100.0,22.0,19.0,36.0,23.0
Oklahoma City Thunder,OKC,25,126.0,34.0,29.0,44.0,19.0,Golden State Warriors,GS,9,102.0,25.0,19.0,28.0,30.0
Utah Jazz,UTAH,26,152.0,38.0,32.0,44.0,38.0,Indiana Pacers,IND,11,128.0,34.0,23.0,34.0,37.0
